package,date,downloads
ggplot2,2016-02-08,8975
ggplot2,2016-02-09,9672
ggplot2,2016-02-10,9762
ggplot2,2016-02-11,9472
ggplot2,2016-02-12,8580
ggplot2,2016-02-13,4624
ggplot2,2016-02-14,4658
ggplot2,2016-02-15,9083
ggplot2,2016-02-16,12045
ggplot2,2016-02-17,16712
ggplot2,2016-02-18,9762
ggplot2,2016-02-19,8621
ggplot2,2016-02-20,4929
ggplot2,2016-02-21,4950
ggplot2,2016-02-22,9376
ggplot2,2016-02-23,9824
ggplot2,2016-02-24,9264
ggplot2,2016-02-25,9293
ggplot2,2016-02-26,9564
ggplot2,2016-02-27,5503
ggplot2,2016-02-28,4798
ggplot2,2016-02-29,9496
ggplot2,2016-03-01,11832
ggplot2,2016-03-02,13166
ggplot2,2016-03-03,12375
ggplot2,2016-03-04,11107
ggplot2,2016-03-05,5847
ggplot2,2016-03-06,6281
ggplot2,2016-03-07,10722
ggplot2,2016-03-08,11540
ggplot2,2016-03-09,11099
ggplot2,2016-03-10,10509
ggplot2,2016-03-11,9155
ggplot2,2016-03-12,4972
ggplot2,2016-03-13,5041
ggplot2,2016-03-14,9821
ggplot2,2016-03-15,11324
ggplot2,2016-03-16,9609
ggplot2,2016-03-17,9413
ggplot2,2016-03-18,8347
ggplot2,2016-03-19,4531
ggplot2,2016-03-20,4766
ggplot2,2016-03-21,9039
ggplot2,2016-03-22,9168
ggplot2,2016-03-23,8465
ggplot2,2016-03-24,7516
ggplot2,2016-03-25,5478
ggplot2,2016-03-26,3692
ggplot2,2016-03-27,3792
ggplot2,2016-03-28,7117
ggplot2,2016-03-29,8585
ggplot2,2016-03-30,9332
ggplot2,2016-03-31,8840
ggplot2,2016-04-01,7973
ggplot2,2016-04-02,4030
ggplot2,2016-04-03,4233
ggplot2,2016-04-04,8282
ggplot2,2016-04-05,9445
ggplot2,2016-04-06,9414
ggplot2,2016-04-07,8937
ggplot2,2016-04-08,7601
ggplot2,2016-04-09,4174
ggplot2,2016-04-10,4300
ggplot2,2016-04-11,8984
ggplot2,2016-04-12,9403
ggplot2,2016-04-13,8949
ggplot2,2016-04-14,8983
ggplot2,2016-04-15,7623
ggplot2,2016-04-16,4501
ggplot2,2016-04-17,4492
ggplot2,2016-04-18,8705
ggplot2,2016-04-19,8997
ggplot2,2016-04-20,8871
ggplot2,2016-04-21,8300
ggplot2,2016-04-22,7736
ggplot2,2016-04-23,4360
ggplot2,2016-04-24,4514
ggplot2,2016-04-25,8696
ggplot2,2016-04-26,9182
ggplot2,2016-04-27,9090
ggplot2,2016-04-28,8730
ggplot2,2016-04-29,7227
ggplot2,2016-04-30,4033
ggplot2,2016-05-01,4252
ggplot2,2016-05-02,7989
ggplot2,2016-05-03,8845
ggplot2,2016-05-04,9597
ggplot2,2016-05-05,8968
ggplot2,2016-05-06,8209
ggplot2,2016-05-07,4660
ggplot2,2016-05-08,4581
ggplot2,2016-05-09,10063
ggplot2,2016-05-10,10702
ggplot2,2016-05-11,10497
ggplot2,2016-05-12,10394
ggplot2,2016-05-13,8637
ggplot2,2016-05-14,4763
ggplot2,2016-05-15,5300
ggplot2,2016-05-16,9296
ggplot2,2016-05-17,10240
ggplot2,2016-05-18,10318
ggplot2,2016-05-19,9673
ggplot2,2016-05-20,8748
ggplot2,2016-05-21,4682
ggplot2,2016-05-22,4691
ggplot2,2016-05-23,9302
